,InterCloud,t,lat,lon,current_mag,multiplicity_0,accr,error_elps,num_station,geometry
0,0,2023-06-11 20:24:16.912,47.473338,-75.026994,4582,0,0,16,1,POINT (-75.026994 47.473338)
1,0,2023-06-11 20:27:46.579,47.571264,-75.019182,-5639,0,0,14,1,POINT (-75.019182 47.571264)
2,0,2023-06-11 20:24:16.912,47.601668,-75.049831,4850,0,0,19,1,POINT (-75.049831 47.601668)
3,0,2023-06-11 21:02:34.029,47.605495,-75.094732,-22502,0,0,22,4,POINT (-75.094732 47.605495)
4,0,2023-06-11 21:02:34.028,47.61454,-75.104596,10684,0,0,29,4,POINT (-75.104596 47.61454)
5,0,2023-06-11 21:02:34.044,47.747159,-75.140263,-4185,0,0,13,1,POINT (-75.140263 47.747159)
6,0,2023-06-11 22:13:42.352,47.898783,-75.244569,-5456,0,0,18,1,POINT (-75.244569 47.898783)
7,0,2023-06-11 22:17:59.545,47.935456,-75.255286,-14625,0,0,24,1,POINT (-75.255286 47.935456)
8,0,2023-06-11 00:07:49.703,47.890292,-72.650454,-5296,0,0,9,1,POINT (-72.650454 47.890292)
9,0,2023-06-11 00:39:04.422,47.990093,-72.737936,-6549,0,0,22,2,POINT (-72.737936 47.990093)
10,0,2023-06-11 00:39:04.430,48.01328,-72.660962,29187,0,0,26,2,POINT (-72.660962 48.01328)
11,0,2023-06-11 00:23:12.290,48.035448,-72.636268,13426,0,0,24,4,POINT (-72.636268 48.035448)
12,0,2023-06-11 00:34:29.720,48.055586,-72.669209,17712,0,0,30,1,POINT (-72.669209 48.055586)
13,0,2023-06-11 18:57:41.929,47.758185,-75.70127,10624,0,0,33,4,POINT (-75.70127 47.758185)
14,0,2023-06-11 18:57:41.927,47.768806,-75.692977,-5063,0,0,23,4,POINT (-75.692977 47.768806)
15,0,2023-06-11 00:39:27.199,50.505511,-73.922524,14187,0,0,11,1,POINT (-73.922524 50.505511)
16,0,2023-06-11 00:08:05.025,51.159067,-73.707219,9712,0,0,13,1,POINT (-73.707219 51.159067)
17,0,2023-06-11 00:35:47.843,51.245227,-73.691666,-6320,0,0,9,1,POINT (-73.691666 51.245227)
18,0,2023-06-11 00:38:05.423,51.278343,-73.888229,-4596,0,0,7,1,POINT (-73.888229 51.278343)
19,0,2023-06-11 00:46:17.748,51.293304,-73.890708,-5653,0,0,7,4,POINT (-73.890708 51.293304)
20,0,2023-06-11 00:43:45.024,51.326275,-73.926613,-37090,0,0,26,1,POINT (-73.926613 51.326275)
21,0,2023-06-11 22:38:55.486,51.573297,-73.126966,15449,0,0,17,3,POINT (-73.126966 51.573297)
22,0,2023-06-11 22:26:08.272,51.58112,-73.178794,15828,0,0,17,2,POINT (-73.178794 51.58112)
23,0,2023-06-11 22:29:43.689,51.6529,-73.1434,-54380,0,0,6,2,POINT (-73.1434 51.6529)
24,0,2023-06-11 00:33:24.465,48.056937,-72.774109,62528,0,0,27,2,POINT (-72.774109 48.056937)
25,0,2023-06-11 00:23:12.214,48.073754,-72.683828,5347,0,0,11,4,POINT (-72.683828 48.073754)
26,0,2023-06-11 00:27:30.484,48.075332,-72.662941,17881,0,0,25,2,POINT (-72.662941 48.075332)
27,0,2023-06-11 00:29:01.289,48.084271,-72.715052,18344,0,0,17,2,POINT (-72.715052 48.084271)
28,0,2023-06-11 00:13:44.336,48.08431,-72.662021,-41747,0,0,18,2,POINT (-72.662021 48.08431)
29,0,2023-06-11 00:09:47.146,48.086585,-72.673057,-7820,0,0,24,5,POINT (-72.673057 48.086585)
30,0,2023-06-11 00:29:01.246,48.08856,-72.709959,75405,0,0,28,2,POINT (-72.709959 48.08856)
31,0,2023-06-11 00:09:47.108,48.093393,-72.671243,-45055,0,0,28,5,POINT (-72.671243 48.093393)
32,0,2023-06-11 00:07:49.599,48.095996,-72.665143,-9678,0,0,24,4,POINT (-72.665143 48.095996)
