,YYYY,MM,DD,HH,TEMP_C,RH_PERC, VPD_HPA,WDSPD_KPH,PREC_MM,SNOWD_M,FFMC,DMC,DC,BUI,ISI,FWI,OBSMINUTEDIFFTEMP,OBSMINUTEDIFFRH,OBSMINUTEDIFFWDSPD,OBSMINUTEDIFFPREC,OBSMINUTEDIFFSNOW,HH_format,time
40485,2021,8,14,13,35.081,20.279,45.011,12.092,0.0,0.0,94.901,,,,15.708,53.21,5.0,5.0,5.0,5,,13,2021-08-14 13:00:00
40486,2021,8,14,14,34.912,20.51,44.479,16.29,0.0,0.0,95.107,,,,19.962,61.658,5.0,5.0,5.0,5,,14,2021-08-14 14:00:00
40487,2021,8,14,15,33.721,21.92,40.905,10.95,0.0,0.0,95.115,,,,15.271,52.285,5.0,5.0,5.0,5,,15,2021-08-14 15:00:00
40488,2021,8,14,16,33.967,21.614,41.618,13.444,0.0,0.0,95.15,,,,17.398,56.681,5.0,5.0,5.0,5,,16,2021-08-14 16:00:00
40489,2021,8,14,17,33.988,21.592,41.677,10.943,0.0,0.0,95.177,,,,15.394,52.547,5.0,5.0,5.0,5,,17,2021-08-14 17:00:00
40490,2021,8,14,18,32.784,22.909,38.271,8.8648,0.0,0.0,95.177,,,,13.864,49.219,5.0,5.0,5.0,5,,18,2021-08-14 18:00:00
40491,2021,8,14,19,28.72,35.716,25.359,7.6002,0.0,0.0,94.849,,,,12.437,45.96,5.0,5.0,5.0,5,,19,2021-08-14 19:00:00
40492,2021,8,14,20,26.881,39.7,21.339,8.5911,0.0,0.0,94.407,,,,12.302,45.644,5.0,5.0,5.0,5,,20,2021-08-14 20:00:00
40493,2021,8,14,21,25.96,36.409,21.32,11.889,0.0,0.0,94.099,,,,13.921,49.345,5.0,5.0,5.0,5,,21,2021-08-14 21:00:00
40494,2021,8,14,22,24.968,36.497,20.085,9.3556,0.0,0.0,93.832,,,,11.808,44.469,5.0,5.0,5.0,5,,22,2021-08-14 22:00:00
40495,2021,8,14,23,26.302,38.299,21.122,11.223,0.0,0.0,93.561,,,,12.492,46.089,5.0,5.0,5.0,5,,23,2021-08-14 23:00:00
40496,2021,8,15,0,26.642,34.509,22.911,9.6853,0.0,0.0,93.454,,,,11.391,43.459,5.0,5.0,5.0,5,,00,2021-08-15 00:00:00
40497,2021,8,15,1,27.037,31.678,24.417,18.511,0.0,0.0,93.448,,,,17.753,57.391,5.0,5.0,5.0,5,,01,2021-08-15 01:00:00
40498,2021,8,15,2,27.018,30.031,24.979,15.975,0.0,0.0,93.448,,,,15.624,53.033,5.0,5.0,5.0,5,,02,2021-08-15 02:00:00
40499,2021,8,15,3,27.881,26.516,27.595,14.193,0.0,0.0,93.448,,,,14.282,50.145,5.0,5.0,5.0,5,,03,2021-08-15 03:00:00
40500,2021,8,15,4,26.993,28.105,25.627,13.866,0.0,0.0,93.448,,,,14.049,49.629,5.0,5.0,5.0,5,,04,2021-08-15 04:00:00
40501,2021,8,15,5,26.928,26.179,26.211,18.357,0.0,0.0,93.448,,,,17.616,57.117,5.0,5.0,5.0,5,,05,2021-08-15 05:00:00
40502,2021,8,15,6,27.093,25.754,26.637,14.956,0.0,0.0,93.448,,,,14.842,51.364,5.0,5.0,5.0,5,,06,2021-08-15 06:00:00
40503,2021,8,15,7,27.97,23.112,29.018,11.903,0.0,0.0,93.545,,,,12.898,47.031,5.0,5.0,5.0,5,,07,2021-08-15 07:00:00
40504,2021,8,15,8,30.084,21.124,33.634,4.0116,0.0,0.0,93.767,,,,8.9394,37.159,5.0,5.0,5.0,5,,08,2021-08-15 08:00:00
40505,2021,8,15,9,31.164,22.324,35.205,6.9173,0.0,0.0,93.948,,,,10.612,41.532,5.0,5.0,5.0,5,,09,2021-08-15 09:00:00
40506,2021,8,15,10,31.117,23.501,34.582,9.3965,0.0,0.0,94.038,,,,12.175,45.344,5.0,5.0,5.0,5,,10,2021-08-15 10:00:00
40507,2021,8,15,11,31.215,23.942,34.598,9.6733,0.0,0.0,94.091,,,,12.437,45.96,5.0,5.0,5.0,5,,11,2021-08-15 11:00:00
40508,2021,8,15,12,31.935,24.24,35.882,10.484,0.0,0.0,94.147,707.82,1040.2,698.55,13.056,47.394,5.0,5.0,5.0,5,,12,2021-08-15 12:00:00
40509,2021,8,15,13,32.088,23.94,36.351,7.9821,0.0,0.0,94.209,,,,11.608,43.988,5.0,5.0,5.0,5,,13,2021-08-15 13:00:00
40510,2021,8,15,14,33.279,24.014,38.836,9.6011,0.0,0.0,94.304,,,,12.761,46.715,5.0,5.0,5.0,5,,14,2021-08-15 14:00:00
