"field_agency_fire_id","field_agency_code","field_agency_data_timezone","field_situation_report_date","field_status_date","field_stage_of_control_status","field_system_fire_cause","field_response_type","field_fire_size","field_latitude","field_longitude","full_count"
"SS029-23","nt","MST","2023-07-11T03:38:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","2986.00","60.803883","-112.726667","6668"
"SS027-23","nt","MST","2023-07-05T15:00:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","176000.00","61.281233","-111.385017","6668"
"SS026-23","nt","MST","2023-07-05T00:00:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","0.00","61.2768","-111.2975","6668"
"FS018-23","nt","MST","2023-07-17T16:27:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","250.00","60.7384","-120.9336","6668"
"FS019-23","nt","MST","2023-07-17T16:26:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","1400.00","60.7707","-121.0307","6668"
"FS020-23","nt","MST","2023-07-17T21:48:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","3.00","60.8764","-120.4707","6668"
"FS021-23","nt","MST","2023-07-18T22:29:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","1320.00","60.7423","-120.5908","6668"
"FS022-23","nt","MST","2023-07-20T19:30:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","14000.00","61.029833","-121.346167","6668"
"FS023-23","nt","MST","2023-07-10T09:43:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","26000.00","64.008","-121.356","6668"
"FS024-23","nt","MST","2023-07-31T14:45:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","3.00","63.805033","-122.365517","6668"
"FS025-23","nt","MST","2023-08-05T16:00:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","12000.00","63.500833","-121.386333","6668"
"FS026-23","nt","MST","2023-07-16T18:23:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","60.00","62.7478","-124.8905","6668"
"FS027-23","nt","MST","2023-08-08T20:48:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","760.00","63.091667","-124.0185","6668"
"FS028-23","nt","MST","2023-08-13T19:13:00.000Z","2023-11-27T17:00:37.000Z","OUT","H","MOD","328.00","61.434667","-120.5569","6668"
"FS029-23","nt","MST","2023-08-25T22:57:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","FUL","1.00","60.026167","-122.943","6668"
"FS030-23","nt","MST","2023-09-01T20:30:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","0.20","61.24605","-120.546817","6668"
"FS031-23","nt","MST","2023-09-01T21:53:00.000Z","2023-11-27T17:00:37.000Z","OUT","H","FUL","0.20","60.2416","-123.43025","6668"
"FS032-23","nt","MST","2023-09-07T19:37:00.000Z","2023-11-27T17:00:37.000Z","OUT","N","MON","10.00","60.149167","-125.148333","6668"
